Week,Team,Player,Score,Position
13,Monaf,CeeDee Lamb DAL,18,WR1
13,Chuy,Davante Adams LAR,17,WR1
13,Kenny,Terry McLaurin WAS,15,WR1
13,Jay,Rome Odunze CHI,0,WR1
14,Jay,Chris Olave NOS,3,WR1
14,Chuy,Davante Adams LAR,2,WR1
14,Kenny,Terry McLaurin WAS,4,WR1
14,Gaybo,Amon-Ra St. Brown DET,9,WR1
14,Monaf,CeeDee Lamb DAL,12,WR1
14,Greg,Darnell Mooney ATL,0,WR1
1,Elaf,Ja'Marr Chase CIN,2,WR1
1,ATL,Drake London ATL,5,WR1
1,Gaybo,Amon-Ra St. Brown DET,4,WR1
1,Larry,Brian Thomas Jr. JAC,7,WR1
1,Greg,Justin Jefferson MIN,11,WR1
1,Monaf,Ladd McConkey LAC,7,WR1
2,Larry,Brian Thomas Jr. JAC,4,WR1
2,Julio,A.J. Brown PHI,2,WR1
2,ATL,Drake London ATL,4,WR1
2,Paco,Puka Nacua LAR,23,WR1
2,Gaybo,Amon-Ra St. Brown DET,29,WR1
2,Greg,Justin Jefferson MIN,8,WR1
3,Chuy,Davante Adams LAR,15,WR1
3,Paco,Puka Nacua LAR,11,WR1
3,Monaf,Ladd McConkey LAC,4,WR1
3,Gaybo,Amon-Ra St. Brown DET,14,WR1
3,Jay,CeeDee Lamb DAL,0,WR1
3,Greg,Justin Jefferson MIN,7,WR1
4,Chuy,Davante Adams LAR,12,WR1
4,Julio,A.J. Brown PHI,0,WR1
4,Elaf,Ja'Marr Chase CIN,2,WR1
4,Gaybo,Amon-Ra St. Brown DET,19,WR1
4,Greg,Justin Jefferson MIN,12,WR1
4,Jay,Quentin Johnston LAC,18,WR1
5,Julio,A.J. Brown PHI,4,WR1
5,Elaf,Ja'Marr Chase CIN,30,WR1
5,Chuy,Davante Adams LAR,8,WR1
5,ATL,Keon Coleman BUF,8,WR1
5,Larry,Brian Thomas Jr. JAC,8,WR1
5,Jay,Quentin Johnston LAC,4,WR1
6,Elaf,Ja'Marr Chase CIN,16,WR1
6,Monaf,Emeka Egbuka TBB,2,WR1
6,Larry,Brian Thomas Jr. JAC,17,WR1
6,ATL,Drake London ATL,21,WR1
6,Julio,A.J. Brown PHI,8,WR1
6,Jay,Rome Odunze CHI,3,WR1
7,Paco,DK Metcalf PIT,5,WR1
7,Monaf,Ladd McConkey LAC,6,WR1
7,Jay,Rome Odunze CHI,3,WR1
7,Doy,Marvin Harrison Jr. ARI,5,WR1
7,Larry,Brian Thomas Jr. JAC,3,WR1
7,ATL,Mike Evans TBB,0,WR1
8,Jay,Rome Odunze CHI,11,WR1
8,Doy,DJ Moore CHI,7,WR1
8,Monaf,Ladd McConkey LAC,16,WR1
8,ATL,Rashee Rice KCC,16,WR1
8,Paco,DK Metcalf PIT,11,WR1
8,Chuy,Wan'Dale Robinson NYG,4,WR1
9,Elaf,Ja'Marr Chase CIN,11,WR1
9,Greg,Justin Jefferson MIN,11,WR1
9,Paco,Puka Nacua LAR,18,WR1
9,Monaf,Ladd McConkey LAC,5,WR1
9,Jay,Rome Odunze CHI,0,WR1
9,ATL,Rashee Rice KCC,14,WR1
10,Jay,Rome Odunze CHI,14,WR1
10,Julio,A.J. Brown PHI,1,WR1
10,Monaf,Ladd McConkey LAC,17,WR1
10,Gaybo,Amon-Ra St. Brown DET,11,WR1
10,Greg,Justin Jefferson MIN,3,WR1
10,ATL,Drake London ATL,19,WR1
11,Gaybo,Amon-Ra St. Brown DET,4,WR1
11,Larry,Brian Thomas Jr. JAC,0,WR1
11,Greg,Justin Jefferson MIN,6,WR1
11,Julio,A.J. Brown PHI,4,WR1
11,Doy,Jaylen Waddle MIA,5,WR1
11,ATL,CeeDee Lamb DAL,13,WR1
12,Monaf,A.J. Brown PHI,18,WR1
12,Doy,Romeo Doubs GBP,2,WR1
12,Elaf,Jaxon Smith-Njigba SEA,35,WR1
12,Gaybo,Amon-Ra St. Brown DET,21,WR1
12,ATL,Rashee Rice KCC,16,WR1
12,Chuy,Davante Adams LAR,20,WR1
13,Elaf,Jaxon Smith-Njigba SEA,2,WR1
13,Paco,Puka Nacua LAR,7,WR1
13,Julio,Emeka Egbuka TBB,6,WR1
13,ATL,Rashee Rice KCC,23,WR1
13,Larry,Khalil Shakir BUF,0,WR1
13,Gaybo,Amon-Ra St. Brown DET,0,WR1
14,Larry,Brian Thomas Jr. JAC,8,WR1
14,Elaf,Jaxon Smith-Njigba SEA,22,WR1
14,Paco,Puka Nacua LAR,33,WR1
14,Julio,Emeka Egbuka TBB,1,WR1
14,ATL,Rashee Rice KCC,3,WR1
14,Doy,Jaylen Waddle MIA,11,WR1
1,Paco,DK Metcalf PIT,8,WR2
1,Julio,Tyreek Hill MIA,4,WR2
1,Kenny,Travis Kelce KCC,13,WR2
1,Doy,DJ Moore CHI,6,WR2
1,Chuy,Jameson Williams DET,2,WR2
1,Jay,Brock Bowers LVR,10,WR2
2,Kenny,Travis Kelce KCC,6,WR2
2,Monaf,Emeka Egbuka TBB,9,WR2
2,Chuy,Jameson Williams DET,20,WR2
2,Doy,DJ Moore CHI,4,WR2
2,Jay,Brock Bowers LVR,3,WR2
2,Elaf,Courtland Sutton DEN,0,WR2
3,Elaf,Courtland Sutton DEN,22,WR2
3,Kenny,Travis Kelce KCC,2,WR2
3,ATL,Mike Evans TBB,9,WR2
3,Julio,A.J. Brown PHI,16,WR2
3,Larry,Terry McLaurin WAS,7,WR2
3,Doy,DJ Moore CHI,8,WR2
4,Doy,DJ Moore CHI,3,WR2
4,Larry,Garrett Wilson NYJ,16,WR2
4,ATL,Ricky Pearsall SFO,4,WR2
4,Monaf,Emeka Egbuka TBB,23,WR2
4,Kenny,Chris Godwin TBB,2,WR2
4,Paco,DK Metcalf PIT,26,WR2
5,Paco,Trey McBride ARI,4,WR2
5,Doy,Jaylen Waddle MIA,21,WR2
5,Kenny,Chris Godwin TBB,2,WR2
5,Gaybo,Jordan Addison MIN,11,WR2
5,Monaf,Ladd McConkey LAC,9,WR2
5,Greg,Nico Collins HOU,12,WR2
6,Kenny,Travis Kelce KCC,7,WR2
6,Paco,DK Metcalf PIT,17,WR2
6,Gaybo,DeVonta Smith PHI,4,WR2
6,Doy,Jaylen Waddle MIA,9,WR2
6,Greg,Jakobi Meyers LVR,3,WR2
6,Chuy,Jameson Williams DET,14,WR2
7,Chuy,Jameson Williams DET,0,WR2
7,Kenny,Rashid Shaheed NOS,4,WR2
7,Julio,Keenan Allen LAC,17,WR2
7,Gaybo,Tee Higgins CIN,17,WR2
7,Elaf,Courtland Sutton DEN,11,WR2
7,Greg,Nico Collins HOU,2,WR2
8,Elaf,Courtland Sutton DEN,6,WR2
8,Kenny,Deebo Samuel Sr. WAS,1,WR2
8,Greg,Darnell Mooney ATL,1,WR2
8,Larry,Terry McLaurin WAS,12,WR2
8,Gaybo,Tee Higgins CIN,14,WR2
8,Julio,Keenan Allen LAC,4,WR2
9,Julio,Jake Ferguson DAL,5,WR2
9,Gaybo,Zay Flowers BAL,6,WR2
9,Larry,Khalil Shakir BUF,4,WR2
9,Chuy,Wan'Dale Robinson NYG,4,WR2
9,Doy,Jaylen Waddle MIA,8,WR2
9,Kenny,Deebo Samuel Sr. WAS,4,WR2
10,Kenny,Mark Andrews BAL,7,WR2
10,Doy,Doy Dahmer NAPA,0,WR2
10,Elaf,Courtland Sutton DEN,2,WR2
10,Chuy,Wan'Dale Robinson NYG,6,WR2
10,Larry,Garrett Wilson NYJ,0,WR2
10,Paco,DK Metcalf PIT,3,WR2
11,Elaf,Stefon Diggs NEP,10,WR2
11,Chuy,Wan'Dale Robinson NYG,3,WR2
11,Paco,DK Metcalf PIT,4,WR2
11,Kenny,Rashid Shaheed NOS,2,WR2
11,Monaf,Emeka Egbuka TBB,4,WR2
11,Jay,Rome Odunze CHI,4,WR2
12,Jay,Chris Olave NOS,7,WR2
12,Larry,Jerry Jeudy CLE,3,WR2
12,Paco,Justin Jefferson MIN,4,WR2
12,Kenny,Travis Kelce KCC,4,WR2
12,Julio,Jake Ferguson DAL,6,WR2
12,Greg,Nico Collins HOU,5,WR2
13,Greg,Nico Collins HOU,15,WR2
13,Doy,Marvin Harrison Jr. ARI,6,WR2
13,Monaf,A.J. Brown PHI,28,WR2
13,Chuy,Jameson Williams DET,22,WR2
13,Kenny,Travis Kelce KCC,10,WR2
13,Jay,Chris Olave NOS,11,WR2
14,Jay,Quentin Johnston LAC,0,WR2
14,Chuy,Jameson Williams DET,9,WR2
14,Kenny,Travis Kelce KCC,0,WR2
14,Gaybo,DeVonta Smith PHI,3,WR2
14,Monaf,A.J. Brown PHI,10,WR2
14,Greg,Nico Collins HOU,12,WR2
1,Elaf,Courtland Sutton DEN,14,WR2
1,ATL,Mike Evans TBB,5,WR2
1,Gaybo,DeVonta Smith PHI,1,WR2
1,Larry,Terry McLaurin WAS,2,WR2
1,Greg,Nico Collins HOU,2,WR2
1,Monaf,Xavier Worthy KCC,0,WR2
2,Larry,Terry McLaurin WAS,4,WR2
2,Julio,Tyreek Hill MIA,10,WR2
2,ATL,Mike Evans TBB,5,WR2
2,Paco,DK Metcalf PIT,8,WR2
2,Gaybo,DeVonta Smith PHI,5,WR2
2,Greg,Nico Collins HOU,13,WR2
3,Chuy,Jameson Williams DET,4,WR2
3,Paco,DK Metcalf PIT,10,WR2
3,Monaf,Emeka Egbuka TBB,8,WR2
3,Gaybo,Tee Higgins CIN,1,WR2
3,Jay,Rome Odunze CHI,15,WR2
3,Greg,Nico Collins HOU,21,WR2
4,Chuy,Jameson Williams DET,4,WR2
4,Julio,Tyreek Hill MIA,6,WR2
4,Elaf,Courtland Sutton DEN,16,WR2
4,Gaybo,Zay Flowers BAL,7,WR2
4,Greg,Nico Collins HOU,7,WR2
4,Jay,Rome Odunze CHI,14,WR2
5,Julio,Keenan Allen LAC,5,WR2
5,Elaf,Courtland Sutton DEN,9,WR2
5,Chuy,Jameson Williams DET,0,WR2
5,ATL,Troy Franklin DEN,3,WR2
5,Larry,Garrett Wilson NYJ,13,WR2
5,Jay,Josh Downs IND,5,WR2
6,Elaf,Courtland Sutton DEN,1,WR2
6,Monaf,Ladd McConkey LAC,16,WR2
6,Larry,Garrett Wilson NYJ,1,WR2
6,ATL,Keon Coleman BUF,1,WR2
6,Julio,Keenan Allen LAC,2,WR2
6,Jay,Josh Downs IND,10,WR2
7,Paco,Trey McBride ARI,21,WR2
7,Monaf,Xavier Worthy KCC,4,WR2
7,Jay,CeeDee Lamb DAL,24,WR2
7,Doy,Jaylen Waddle MIA,1,WR2
7,Larry,Jerry Jeudy CLE,1,WR2
7,ATL,Drake London ATL,4,WR2
8,Jay,CeeDee Lamb DAL,7,WR2
8,Doy,Romeo Doubs GBP,6,WR2
8,Monaf,Xavier Worthy KCC,5,WR2
8,ATL,Drake London ATL,0,WR2
8,Paco,Michael Pittman Jr. IND,17,WR2
8,Chuy,Kayshon Boutte NEP,16,WR2
9,Elaf,Jaxon Smith-Njigba SEA,13,WR2
9,Greg,Nico Collins HOU,7,WR2
9,Paco,DK Metcalf PIT,0,WR2
9,Monaf,Tucker Kraft GBP,2,WR2
9,Jay,CeeDee Lamb DAL,8,WR2
9,ATL,Drake London ATL,29,WR2
10,Jay,Josh Downs IND,0,WR2
10,Julio,Keenan Allen LAC,1,WR2
10,Monaf,Emeka Egbuka TBB,19,WR2
10,Gaybo,DeVonta Smith PHI,15,WR2
10,Greg,Nico Collins HOU,13,WR2
10,ATL,Troy Franklin DEN,10,WR2
11,Gaybo,DeVonta Smith PHI,0,WR2
11,Larry,Khalil Shakir BUF,0,WR2
11,Greg,Nico Collins HOU,15,WR2
11,Julio,Keenan Allen LAC,5,WR2
11,Doy,Romeo Doubs GBP,5,WR2
11,ATL,Rashee Rice KCC,3,WR2
12,Monaf,Tyler Warren IND,5,WR2
12,Doy,DJ Moore CHI,20,WR2
12,Elaf,Stefon Diggs NEP,2,WR2
12,Gaybo,DeVonta Smith PHI,9,WR2
12,ATL,CeeDee Lamb DAL,7,WR2
12,Chuy,Jameson Williams DET,0,WR2
13,Elaf,Ja'Marr Chase CIN,11,WR2
13,Paco,Justin Jefferson MIN,0,WR2
13,Julio,Ladd McConkey LAC,10,WR2
13,ATL,Brock Bowers LVR,18,WR2
13,Larry,Jerry Jeudy CLE,2,WR2
13,Gaybo,Zay Flowers BAL,0,WR2
14,Larry,Khalil Shakir BUF,8,WR2
14,Elaf,Ja'Marr Chase CIN,4,WR2
14,Paco,Justin Jefferson MIN,1,WR2
14,Julio,Ladd McConkey LAC,1,WR2
14,ATL,Brock Bowers LVR,11,WR2
14,Doy,Romeo Doubs GBP,0,WR2
1,Paco,Denver Broncos DEN,25,DEF
1,Julio,Pittsburgh Steelers PIT,5,DEF
1,Kenny,Cincinnati Bengals CIN,10,DEF
1,Doy,Houston Texans HOU,9,DEF
1,Chuy,New York Jets NYJ,8,DEF
1,Jay,Tampa Bay Buccaneers TBB,2,DEF
2,Kenny,Cincinnati Bengals CIN,8,DEF
2,Monaf,San Francisco 49ers SFO,9,DEF
2,Chuy,Green Bay Packers GBP,8,DEF
2,Doy,Baltimore Ravens BAL,22,DEF
2,Jay,Seattle Seahawks SEA,18,DEF
2,Elaf,Detroit Lions DET,14,DEF
3,Elaf,Detroit Lions DET,17,DEF
3,Kenny,Indianapolis Colts IND,20,DEF
3,ATL,Minnesota Vikings MIN,55,DEF
3,Julio,Pittsburgh Steelers PIT,25,DEF
3,Larry,Cleveland Browns CLE,16,DEF
3,Doy,Houston Texans HOU,7,DEF
4,Doy,Houston Texans HOU,20,DEF
4,Larry,Cleveland Browns CLE,3,DEF
4,ATL,Minnesota Vikings MIN,4,DEF
4,Monaf,New England Patriots NEP,16,DEF
4,Kenny,Indianapolis Colts IND,9,DEF
4,Paco,Denver Broncos DEN,16,DEF
5,Paco,Philadelphia Eagles PHI,4,DEF
5,Doy,Baltimore Ravens BAL,-1,DEF
5,Kenny,Indianapolis Colts IND,17,DEF
5,Gaybo,Kansas City Chiefs KCC,12,DEF
5,Monaf,Los Angeles Rams LAR,2,DEF
5,Greg,Arizona Cardinals ARI,10,DEF
6,Kenny,Indianapolis Colts IND,7,DEF
6,Paco,Denver Broncos DEN,28,DEF
6,Gaybo,Miami Dolphins MIA,5,DEF
6,Doy,Baltimore Ravens BAL,7,DEF
6,Greg,Buffalo Bills BUF,4,DEF
6,Chuy,Green Bay Packers GBP,2,DEF
7,Chuy,Green Bay Packers GBP,15,DEF
7,Kenny,Indianapolis Colts IND,12,DEF
7,Julio,Pittsburgh Steelers PIT,4,DEF
7,Gaybo,Kansas City Chiefs KCC,25,DEF
7,Elaf,Detroit Lions DET,17,DEF
7,Greg,New York Giants NYG,4,DEF
8,Elaf,Detroit Lions DET,0,DEF
8,Kenny,Cincinnati Bengals CIN,-3,DEF
8,Greg,Buffalo Bills BUF,26,DEF
8,Larry,Cleveland Browns CLE,18,DEF
8,Gaybo,Kansas City Chiefs KCC,13,DEF
8,Julio,Pittsburgh Steelers PIT,0,DEF
9,Julio,Jacksonville Jaguars JAC,7,DEF
9,Gaybo,Kansas City Chiefs KCC,6,DEF
9,Larry,Chicago Bears CHI,10,DEF
9,Chuy,Green Bay Packers GBP,5,DEF
9,Doy,Baltimore Ravens BAL,16,DEF
9,Kenny,Indianapolis Colts IND,9,DEF
10,Kenny,Indianapolis Colts IND,9,DEF
10,Doy,Doy Dahmer NAPA,0,DEF
10,Elaf,Detroit Lions DET,4,DEF
10,Chuy,New York Jets NYJ,40,DEF
10,Larry,Cleveland Browns CLE,12,DEF
10,Paco,Denver Broncos DEN,21,DEF
11,Elaf,Detroit Lions DET,2,DEF
11,Chuy,Green Bay Packers GBP,10,DEF
11,Paco,Dallas Cowboys DAL,16,DEF
11,Kenny,Cincinnati Bengals CIN,2,DEF
11,Monaf,New England Patriots NEP,13,DEF
11,Jay,Los Angeles Chargers LAC,0,DEF
12,Jay,Seattle Seahawks SEA,8,DEF
12,Larry,Cleveland Browns CLE,26,DEF
12,Paco,Philadelphia Eagles PHI,8,DEF
12,Kenny,Indianapolis Colts IND,14,DEF
12,Julio,Jacksonville Jaguars JAC,12,DEF
12,Greg,Arizona Cardinals ARI,24,DEF
13,Greg,Arizona Cardinals ARI,4,DEF
13,Doy,Houston Texans HOU,2,DEF
13,Monaf,San Francisco 49ers SFO,18,DEF
13,Chuy,New York Jets NYJ,7,DEF
13,Kenny,Indianapolis Colts IND,7,DEF
13,Jay,Seattle Seahawks SEA,47,DEF
14,Jay,Seattle Seahawks SEA,29,DEF
14,Chuy,Green Bay Packers GBP,5,DEF
14,Kenny,Indianapolis Colts IND,0,DEF
14,Gaybo,Miami Dolphins MIA,24,DEF
14,Monaf,Tennessee Titans TEN,11,DEF
14,Greg,Buffalo Bills BUF,20,DEF
1,Elaf,Detroit Lions DET,0,DEF
1,ATL,Minnesota Vikings MIN,7,DEF
1,Gaybo,Kansas City Chiefs KCC,6,DEF
1,Larry,Chicago Bears CHI,22,DEF
1,Greg,Arizona Cardinals ARI,2,DEF
1,Monaf,San Francisco 49ers SFO,8,DEF
2,Larry,Chicago Bears CHI,-10,DEF
2,Julio,Pittsburgh Steelers PIT,10,DEF
2,ATL,Los Angeles Rams LAR,13,DEF
2,Paco,Denver Broncos DEN,2,DEF
2,Gaybo,Kansas City Chiefs KCC,4,DEF
2,Greg,Arizona Cardinals ARI,18,DEF
3,Chuy,Green Bay Packers GBP,7,DEF
3,Paco,Denver Broncos DEN,16,DEF
3,Monaf,San Francisco 49ers SFO,2,DEF
3,Gaybo,Kansas City Chiefs KCC,13,DEF
3,Jay,Seattle Seahawks SEA,22,DEF
3,Greg,Buffalo Bills BUF,3,DEF
4,Chuy,Green Bay Packers GBP,-1,DEF
4,Julio,Pittsburgh Steelers PIT,18,DEF
4,Elaf,Detroit Lions DET,30,DEF
4,Gaybo,Miami Dolphins MIA,13,DEF
4,Greg,Buffalo Bills BUF,9,DEF
4,Jay,Seattle Seahawks SEA,18,DEF
5,Julio,Jacksonville Jaguars JAC,18,DEF
5,Elaf,Detroit Lions DET,18,DEF
5,Chuy,New York Jets NYJ,-1,DEF
5,ATL,Minnesota Vikings MIN,10,DEF
5,Larry,Cleveland Browns CLE,12,DEF
5,Jay,Seattle Seahawks SEA,-1,DEF
6,Elaf,Detroit Lions DET,6,DEF
6,Monaf,New England Patriots NEP,7,DEF
6,Larry,Cleveland Browns CLE,0,DEF
6,ATL,Los Angeles Rams LAR,24,DEF
6,Julio,Pittsburgh Steelers PIT,15,DEF
6,Jay,Los Angeles Chargers LAC,13,DEF
7,Paco,Denver Broncos DEN,11,DEF
7,Monaf,New England Patriots NEP,22,DEF
7,Jay,Seattle Seahawks SEA,9,DEF
7,Doy,Houston Texans HOU,22,DEF
7,Larry,Cleveland Browns CLE,32,DEF
7,ATL,Los Angeles Rams LAR,17,DEF
8,Jay,Tampa Bay Buccaneers TBB,35,DEF
8,Doy,Houston Texans HOU,7,DEF
8,Monaf,New England Patriots NEP,13,DEF
8,ATL,Minnesota Vikings MIN,4,DEF
8,Paco,Philadelphia Eagles PHI,10,DEF
8,Chuy,Green Bay Packers GBP,9,DEF
9,Elaf,Detroit Lions DET,13,DEF
9,Greg,New York Giants NYG,7,DEF
9,Paco,Denver Broncos DEN,8,DEF
9,Monaf,New England Patriots NEP,2,DEF
9,Jay,Los Angeles Chargers LAC,8,DEF
9,ATL,Los Angeles Rams LAR,11,DEF
10,Jay,Seattle Seahawks SEA,33,DEF
10,Julio,Pittsburgh Steelers PIT,13,DEF
10,Monaf,New England Patriots NEP,4,DEF
10,Gaybo,Miami Dolphins MIA,15,DEF
10,Greg,Buffalo Bills BUF,6,DEF
10,ATL,Los Angeles Rams LAR,6,DEF
11,Gaybo,Kansas City Chiefs KCC,4,DEF
11,Larry,Cleveland Browns CLE,27,DEF
11,Greg,Arizona Cardinals ARI,-1,DEF
11,Julio,Pittsburgh Steelers PIT,30,DEF
11,Doy,Houston Texans HOU,9,DEF
11,ATL,Minnesota Vikings MIN,4,DEF
12,Monaf,San Francisco 49ers SFO,13,DEF
12,Doy,Baltimore Ravens BAL,15,DEF
12,Elaf,Detroit Lions DET,5,DEF
12,Gaybo,Kansas City Chiefs KCC,0,DEF
12,ATL,Los Angeles Rams LAR,31,DEF
12,Chuy,Green Bay Packers GBP,29,DEF
13,Elaf,Detroit Lions DET,0,DEF
13,Paco,Denver Broncos DEN,7,DEF
13,Julio,Jacksonville Jaguars JAC,20,DEF
13,ATL,Los Angeles Rams LAR,4,DEF
13,Larry,Cleveland Browns CLE,2,DEF
13,Gaybo,Kansas City Chiefs KCC,9,DEF
14,Larry,Cleveland Browns CLE,5,DEF
14,Elaf,Detroit Lions DET,19,DEF
14,Paco,Denver Broncos DEN,18,DEF
14,Julio,Pittsburgh Steelers PIT,7,DEF
14,ATL,Los Angeles Rams LAR,15,DEF
14,Doy,Houston Texans HOU,16,DEF
1,Paco,Chris Boswell PIT,16,K
1,Julio,Brandon Aubrey DAL,11,K
1,Kenny,Harrison Butker KCC,9,K
1,Doy,Jake Bates DET,5,K
1,Chuy,Evan McPherson CIN,5,K
1,Jay,Jake Elliott PHI,9,K
2,Kenny,Harrison Butker KCC,8,K
2,Monaf,Jason Myers SEA,10,K
2,Chuy,Tyler Loop BAL,11,K
2,Doy,Jake Bates DET,10,K
2,Jay,Jake Elliott PHI,14,K
2,Elaf,Matt Gay WAS,7,K
3,Elaf,Matt Gay WAS,14,K
3,Kenny,Harrison Butker KCC,11,K
3,ATL,Ka'imi Fairbairn HOU,2,K
3,Julio,Brandon Aubrey DAL,9,K
3,Larry,Will Reichard MIN,15,K
3,Doy,Jake Bates DET,8,K
4,Doy,Jake Bates DET,13,K
4,Larry,Will Reichard MIN,5,K
4,ATL,Ka'imi Fairbairn HOU,8,K
4,Monaf,Jason Myers SEA,20,K
4,Kenny,Harrison Butker KCC,11,K
4,Paco,Chris Boswell PIT,6,K
5,Paco,Cam Little JAC,10,K
5,Doy,Jake Bates DET,5,K
5,Kenny,Harrison Butker KCC,4,K
5,Gaybo,Cameron Dicker LAC,7,K
5,Monaf,Jason Myers SEA,5,K
5,Greg,Chase McLaughlin TBB,18,K
6,Kenny,Harrison Butker KCC,6,K
6,Paco,Cam Little JAC,0,K
6,Gaybo,Cameron Dicker LAC,15,K
6,Doy,Jake Bates DET,3,K
6,Greg,Chase McLaughlin TBB,6,K
6,Chuy,Tyler Loop BAL,3,K
7,Chuy,Wil Lutz DEN,11,K
7,Kenny,Harrison Butker KCC,7,K
7,Julio,Brandon Aubrey DAL,15,K
7,Gaybo,Cameron Dicker LAC,6,K
7,Elaf,Matt Gay WAS,2,K
7,Greg,Chase McLaughlin TBB,6,K
8,Elaf,Matt Gay WAS,0,K
8,Kenny,Harrison Butker KCC,4,K
8,Greg,Chase McLaughlin TBB,20,K
8,Larry,Will Reichard MIN,7,K
8,Gaybo,Cameron Dicker LAC,13,K
8,Julio,Brandon Aubrey DAL,4,K
9,Julio,Brandon Aubrey DAL,3,K
9,Gaybo,Cameron Dicker LAC,12,K
9,Larry,Will Reichard MIN,10,K
9,Chuy,Wil Lutz DEN,10,K
9,Doy,Jake Bates DET,6,K
9,Kenny,Harrison Butker KCC,5,K
10,Kenny,Harrison Butker KCC,0,K
10,Doy,Doy Dahmer NAPA,0,K
10,Elaf,Matt Gay WAS,4,K
10,Chuy,Wil Lutz DEN,0,K
10,Larry,Will Reichard MIN,7,K
10,Paco,Chris Boswell PIT,7,K
11,Elaf,Matt Gay WAS,5,K
11,Chuy,Evan McPherson CIN,6,K
11,Paco,Cam Little JAC,5,K
11,Kenny,Harrison Butker KCC,7,K
11,Monaf,Jason Myers SEA,15,K
11,Jay,Eddy Pineiro FA,9,K
12,Jay,Jake Elliott PHI,3,K
12,Larry,Will Reichard MIN,12,K
12,Paco,Chris Boswell PIT,4,K
12,Kenny,Harrison Butker KCC,7,K
12,Julio,Brandon Aubrey DAL,12,K
12,Greg,Chase McLaughlin TBB,1,K
13,Greg,Chase McLaughlin TBB,9,K
13,Doy,Jake Bates DET,6,K
13,Monaf,Jason Myers SEA,20,K
13,Chuy,Evan McPherson CIN,21,K
13,Kenny,Harrison Butker KCC,4,K
13,Jay,Jake Elliott PHI,3,K
14,Jay,Jake Elliott PHI,16,K
14,Chuy,Wil Lutz DEN,4,K
14,Kenny,Harrison Butker KCC,4,K
14,Gaybo,Cameron Dicker LAC,18,K
14,Monaf,Jason Myers SEA,14,K
14,Greg,Chase McLaughlin TBB,8,K
1,Elaf,Matt Gay WAS,3,K
1,ATL,Ka'imi Fairbairn HOU,15,K
1,Gaybo,Cameron Dicker LAC,9,K
1,Larry,Will Reichard MIN,10,K
1,Greg,Chase McLaughlin TBB,5,K
1,Monaf,Jason Myers SEA,7,K
2,Larry,Will Reichard MIN,9,K
2,Julio,Brandon Aubrey DAL,22,K
2,ATL,Ka'imi Fairbairn HOU,10,K
2,Paco,Chris Boswell PIT,10,K
2,Gaybo,Cameron Dicker LAC,6,K
2,Greg,Chase McLaughlin TBB,2,K
3,Chuy,Tyler Loop BAL,6,K
3,Paco,Chris Boswell PIT,3,K
3,Monaf,Jason Myers SEA,17,K
3,Gaybo,Cameron Dicker LAC,15,K
3,Jay,Jake Elliott PHI,3,K
3,Greg,Chase McLaughlin TBB,27,K
4,Chuy,Tyler Loop BAL,8,K
4,Julio,Brandon Aubrey DAL,6,K
4,Elaf,Matt Gay WAS,16,K
4,Gaybo,Cameron Dicker LAC,4,K
4,Greg,Chase McLaughlin TBB,17,K
4,Jay,Jake Elliott PHI,7,K
5,Julio,Brandon Aubrey DAL,7,K
5,Elaf,Matt Gay WAS,7,K
5,Chuy,Tyler Loop BAL,2,K
5,ATL,Ka'imi Fairbairn HOU,14,K
5,Larry,Will Reichard MIN,3,K
5,Jay,Jake Elliott PHI,5,K
6,Elaf,Matt Gay WAS,9,K
6,Monaf,Jason Myers SEA,9,K
6,Larry,Will Reichard MIN,0,K
6,ATL,Joshua Karty LAR,5,K
6,Julio,Brandon Aubrey DAL,5,K
6,Jay,Jake Elliott PHI,5,K
7,Paco,Chris Boswell PIT,7,K
7,Monaf,Jason Myers SEA,7,K
7,Jay,Jake Elliott PHI,4,K
7,Doy,Jake Bates DET,9,K
7,Larry,Will Reichard MIN,15,K
7,ATL,Ka'imi Fairbairn HOU,7,K
8,Jay,Eddy Pineiro FA,1,K
8,Doy,Jake Bates DET,0,K
8,Monaf,Wil Lutz DEN,8,K
8,ATL,Ka'imi Fairbairn HOU,11,K
8,Paco,Chris Boswell PIT,21,K
8,Chuy,Wil Lutz DEN,8,K
9,Elaf,Matt Gay WAS,2,K
9,Greg,Brandon McManus GBP,5,K
9,Paco,Chris Boswell PIT,7,K
9,Monaf,Jason Myers SEA,8,K
9,Jay,Eddy Pineiro FA,13,K
9,ATL,Ka'imi Fairbairn HOU,13,K
10,Jay,Eddy Pineiro FA,3,K
10,Julio,Tyler Loop BAL,9,K
10,Monaf,Jason Myers SEA,14,K
10,Gaybo,Cameron Dicker LAC,14,K
10,Greg,Chase McLaughlin TBB,5,K
10,ATL,Ka'imi Fairbairn HOU,0,K
11,Gaybo,Cameron Dicker LAC,6,K
11,Larry,Will Reichard MIN,5,K
11,Greg,Chase McLaughlin TBB,4,K
11,Julio,Brandon Aubrey DAL,10,K
11,Doy,Jake Bates DET,6,K
11,ATL,Joshua Karty LAR,0,K
12,Monaf,Jason Myers SEA,14,K
12,Doy,Jake Bates DET,13,K
12,Elaf,Matt Gay WAS,6,K
12,Gaybo,Daniel Carlson LVR,4,K
12,ATL,Ka'imi Fairbairn HOU,7,K
12,Chuy,Evan McPherson CIN,14,K
13,Elaf,Matt Gay WAS,6,K
