Week,Team,Player,Cost
5,Elaf,Kareem Hunt KC (RB),20
5,Gaybo,Andy Dalton CAR (QB),20
5,Julio,Minnesota Vikings MIN (DEF),20
5,Kenny,Chris Boswell PIT (K),20
5,Gaybo,Roschon Johnson CHI (RB),40
6,Zeus,Juju Smith-Schuster KC (WR),20
6,Ivo,Blake Grupe NO (K),20
6,Jay,Tucker Kraft GB (TE),20
6,Zeus,Michael Wilson ARI (WR),40
6,Gaybo,Jalen Tolbert DAL (WR),60
7,ATL,Jauan Jennings SF (WR),20
7,Greg,Brandon McManus GB (K),20
7,Elaf,Keaton Mitchell BAL (RB),40
7,Zeus,Rashod Bateman BAL (WR),60
8,Monaf,Cedric Tillman CLE (WR),20
8,Kenny,Cade Otton TB (TE),40
8,Monaf,Los Angeles Chargers LAC (DEF),40
9,Jay,Cooper Rush DAL (QB),40
10,Zeus,Ricky Pearsall SF (WR),80
10,Greg,Audric Estime DEN (RB),40
