Week,Team,Player,Score,Position
3,Gaybo,Gus Edwards,0,RB2
3,Zeus,Saquon Barkley,35,RB2
3,Monaf,James Cook,13,RB2
4,Jay,Brian Robinson,17,RB2
4,Ivo,Travis Etienne,6,RB2
4,Monaf,James Cook,3,RB2
4,Greg,Devin Singletary,3,RB2
4,Gaybo,Gus Edwards,1,RB2
4,Zeus,Alvin Kamara,17,RB2
1,Elaf,Amon-Ra St. Brown,1,WR1
1,Marco,Ja'Marr Chase,6,WR1
1,Doy,Davante Adams,5,WR1
1,Julio,Mike Evans,19,WR1
1,Kenny,Tyreek Hill,27,WR1
1,ATL,A.J. Brown,23,WR1
2,ATL,Drake London,11,WR1
2,Doy,Deebo Samuel,11,WR1
2,Julio,Mike Evans,4,WR1
2,Marco,Ja'Marr Chase,3,WR1
2,Elaf,Amon-Ra St. Brown,11,WR1
2,Kenny,Tyreek Hill,3,WR1
3,Jay,CeeDee Lamb,7,WR1
3,Doy,Davante Adams,4,WR1
3,Kenny,Tyreek Hill,4,WR1
3,Elaf,Amon-Ra St. Brown,13,WR1
3,Julio,Mike Evans,1,WR1
3,ATL,Drake London,13,WR1
4,Elaf,Amon-Ra St. Brown,16,WR1
4,Marco,Ja'Marr Chase,20,WR1
4,Julio,Mike Evans,15,WR1
4,Kenny,Tyreek Hill,3,WR1
4,ATL,Drake London,6,WR1
4,Doy,Deebo Samuel,5,WR1
1,Zeus,Jaylen Waddle,10,WR1
1,Monaf,Marvin Harrison,0,WR1
1,Jay,CeeDee Lamb,6,WR1
1,Ivo,Nico Collins,11,WR1
1,Gaybo,Travis Kelce,3,WR1
1,Greg,Justin Jefferson,11,WR1
2,Zeus,Jaylen Waddle,4,WR1
2,Ivo,Nico Collins,21,WR1
2,Greg,Justin Jefferson,28,WR1
2,Gaybo,Stefon Diggs,3,WR1
2,Monaf,Marvin Harrison,33,WR1
2,Jay,CeeDee Lamb,21,WR1
3,Marco,Ja'Marr Chase,30,WR1
3,Greg,Justin Jefferson,14,WR1
3,Ivo,Nico Collins,8,WR1
3,Gaybo,Stefon Diggs,9,WR1
3,Zeus,Chris Godwin,11,WR1
3,Monaf,Brandon Aiyuk,4,WR1
4,Jay,CeeDee Lamb,20,WR1
4,Ivo,Nico Collins,21,WR1
4,Monaf,Marvin Harrison,10,WR1
4,Greg,Justin Jefferson,15,WR1
4,Gaybo,Stefon Diggs,12,WR1
4,Zeus,DK Metcalf,10,WR1
1,Elaf,Kyle Pitts,9,WR2
1,Marco,Garrett Wilson,6,WR2
1,Doy,Deebo Samuel,13,WR2
1,Julio,DeVonta Smith,8,WR2
1,Kenny,DJ Moore,4,WR2
1,ATL,Drake London,1,WR2
2,ATL,Calvin Ridley,25,WR2
2,Doy,Davante Adams,17,WR2
2,Julio,DeVonta Smith,13,WR2
2,Marco,Garrett Wilson,5,WR2
2,Elaf,Rashee Rice,17,WR2
2,Kenny,Tank Dell,1,WR2
3,Jay,Chris Olave,15,WR2
3,Doy,Amari Cooper,22,WR2
3,Kenny,Rashid Shaheed,0,WR2
3,Elaf,Rashee Rice,18,WR2
3,Julio,DeVonta Smith,7,WR2
3,ATL,Calvin Ridley,0,WR2
4,Elaf,Rashee Rice,0,WR2
4,Marco,Garrett Wilson,4,WR2
4,Julio,George Pickens,11,WR2
4,Kenny,Jameson Williams,21,WR2
4,ATL,Brian Thomas,15,WR2
4,Doy,Amari Cooper,3,WR2
1,Zeus,DK Metcalf,2,WR2
1,Monaf,Brandon Aiyuk,2,WR2
1,Jay,Chris Olave,1,WR2
1,Ivo,Christian Kirk,3,WR2
1,Gaybo,Stefon Diggs,15,WR2
1,Greg,Cooper Kupp,18,WR2
2,Zeus,DK Metcalf,23,WR2
2,Ivo,Brandin Cooks,1,WR2
2,Greg,Cooper Kupp,3,WR2
2,Gaybo,Michael Pittman,2,WR2
2,Monaf,Jameson Williams,8,WR2
2,Jay,Zay Flowers,15,WR2
3,Marco,Garrett Wilson,9,WR2
3,Greg,Malik Nabers,19,WR2
3,Ivo,Brock Bowers,4,WR2
3,Gaybo,Khalil Shakir,15,WR2
3,Zeus,DK Metcalf,23,WR2
3,Monaf,Marvin Harrison,13,WR2
4,Jay,Chris Olave,8,WR2
4,Ivo,Brock Bowers,2,WR2
4,Monaf,DJ Moore,8,WR2
4,Greg,Malik Nabers,11,WR2
4,Gaybo,Khalil Shakir,6,WR2
4,Zeus,Chris Godwin,6,WR2
1,Elaf,Jacksonville Jaguars,6,DEF
1,Marco,Dallas Cowboys,30,DEF
1,Doy,Pittsburgh Steelers,13,DEF
1,Julio,Cleveland Browns,6,DEF
1,Kenny,San Francisco 49ers,8,DEF
1,ATL,Houston Texans,7,DEF
2,ATL,Houston Texans,20,DEF
2,Doy,Pittsburgh Steelers,13,DEF
2,Julio,Baltimore Ravens,13,DEF
2,Marco,Dallas Cowboys,0,DEF
2,Elaf,Jacksonville Jaguars,4,DEF
2,Kenny,San Francisco 49ers,14,DEF
3,Jay,Green Bay Packers,34,DEF
3,Doy,Pittsburgh Steelers,16,DEF
3,Kenny,San Francisco 49ers,6,DEF
3,Elaf,Jacksonville Jaguars,-5,DEF
3,Julio,Cleveland Browns,10,DEF
3,ATL,Houston Texans,8,DEF
4,Elaf,Jacksonville Jaguars,7,DEF
4,Marco,Dallas Cowboys,5,DEF
4,Julio,Cleveland Browns,15,DEF
4,Kenny,San Francisco 49ers,31,DEF
4,ATL,Kansas City Chiefs,7,DEF
4,Doy,Pittsburgh Steelers,4,DEF
1,Zeus,Indianapolis Colts,8,DEF
1,Monaf,Chicago Bears,33,DEF
1,Jay,Atlanta Falcons,7,DEF
1,Ivo,New York Jets,6,DEF
1,Gaybo,Miami Dolphins,9,DEF
1,Greg,Seattle Seahawks,13,DEF
2,Zeus,Indianapolis Colts,3,DEF
2,Ivo,New York Jets,8,DEF
2,Greg,Seattle Seahawks,6,DEF
2,Gaybo,Buffalo Bills,25,DEF
2,Monaf,Chicago Bears,9,DEF
2,Jay,Detroit Lions,13,DEF
3,Marco,Dallas Cowboys,0,DEF
3,Greg,Tampa Bay Buccaneers,3,DEF
3,Ivo,New York Jets,24,DEF
3,Gaybo,Buffalo Bills,19,DEF
3,Zeus,Indianapolis Colts,17,DEF
3,Monaf,Chicago Bears,8,DEF
4,Jay,Detroit Lions,12,DEF
4,Ivo,New York Jets,9,DEF
4,Monaf,Chicago Bears,12,DEF
4,Greg,New Orleans Saints,5,DEF
4,Gaybo,Miami Dolphins,5,DEF
4,Zeus,Indianapolis Colts,14,DEF
1,Elaf,Ka'imi Fairbairn,18,K
1,Marco,Brandon Aubrey,18,K
1,Doy,Tyler Bass,3,K
1,Julio,Evan McPherson,6,K
1,Kenny,Cameron Dicker,8,K
1,ATL,Jason Myers,7,K
2,ATL,Jason Myers,9,K
2,Doy,Tyler Bass,3,K
2,Julio,Evan McPherson,13,K
2,Marco,Brandon Aubrey,15,K
2,Elaf,Ka'imi Fairbairn,21,K
2,Kenny,Cameron Dicker,6,K
3,Jay,Chase McLaughlin,0,K
3,Doy,Tyler Bass,4,K
3,Kenny,Cameron Dicker,1,K
3,Elaf,Ka'imi Fairbairn,0,K
3,Julio,Daniel Carlson,0,K
3,ATL,Jason Myers,6,K
4,Elaf,Ka'imi Fairbairn,3,K
4,Marco,Brandon Aubrey,9,K
4,Julio,Evan McPherson,9,K
4,Kenny,Cameron Dicker,6,K
4,ATL,Jason Myers,0,K
4,Doy,Tyler Bass,6,K
1,Zeus,Jason Sanders,15,K
1,Monaf,Will Reichard,0,K
1,Jay,Jake Elliott,4,K
1,Ivo,Jake Moody,22,K
1,Gaybo,Justin Tucker,0,K
1,Greg,Greg Zuerlein,0,K
2,Zeus,Younghoe Koo,7,K
2,Ivo,Jake Moody,3,K
2,Greg,Greg Zuerlein,3,K
2,Gaybo,Justin Tucker,9,K
2,Monaf,Will Reichard,5,K
2,Jay,Jake Elliott,2,K
3,Marco,Brandon Aubrey,12,K
3,Greg,Jake Bates,0,K
3,Ivo,Jake Moody,1,K
3,Gaybo,Justin Tucker,0,K
3,Zeus,Younghoe Koo,6,K
3,Monaf,Will Reichard,9,K
4,Jay,Chase McLaughlin,7,K
4,Ivo,Jake Moody,5,K
4,Monaf,Will Reichard,3,K
4,Greg,Greg Zuerlein,7,K
4,Gaybo,Justin Tucker,0,K
4,Zeus,Younghoe Koo,24,K
1,Elaf,Jerome Ford,12,Flex
1,Marco,Puka Nacua,3,Flex
1,Doy,Amari Cooper,1,Flex
1,Julio,George Pickens,8,Flex
1,Kenny,Tank Dell,5,Flex
1,ATL,Calvin Ridley,5,Flex
2,ATL,Aaron Jones,6,Flex
2,Doy,Amari Cooper,1,Flex
2,Julio,George Pickens,2,Flex
2,Marco,Sam LaPorta,1,Flex
2,Elaf,D'Andre Swift,3,Flex
2,Kenny,DJ Moore,5,Flex
3,Jay,Brian Robinson,9,Flex
3,Doy,Jaylen Warren,0,Flex
3,Kenny,Tank Dell,6,Flex
3,Elaf,Tee Higgins,3,Flex
3,Julio,George Pickens,5,Flex
3,ATL,Aaron Jones,20,Flex
4,Elaf,Tee Higgins,6,Flex
4,Marco,Terry McLaurin,12,Flex
4,Julio,DeAndre Hopkins,3,Flex
4,Kenny,Dallas Goedert,6,Flex
4,ATL,J.K. Dobbins,6,Flex
4,Doy,Jayden Reed,20,Flex
1,Zeus,Alvin Kamara,16,Flex
1,Monaf,David Montgomery,15,Flex
1,Jay,Zay Flowers,4,Flex
1,Ivo,George Kittle,4,Flex
1,Gaybo,Michael Pittman,9,Flex
1,Greg,Malik Nabers,6,Flex
2,Zeus,Alvin Kamara,47,Flex
2,Ivo,George Kittle,13,Flex
2,Greg,Malik Nabers,18,Flex
2,Gaybo,Travis Kelce,0,Flex
2,Monaf,David Montgomery,12,Flex
2,Jay,Brian Robinson,13,Flex
3,Marco,Sam LaPorta,3,Flex
3,Greg,Javonte Williams,3,Flex
3,Ivo,Jakobi Meyers,15,Flex
3,Gaybo,Travis Kelce,3,Flex
3,Zeus,Diontae Johnson,18,Flex
3,Monaf,David Montgomery,17,Flex
4,Jay,Zay Flowers,1,Flex
4,Ivo,Jakobi Meyers,4,Flex
4,Monaf,Jaxon Smith-Njigba,5,Flex
4,Greg,Chuba Hubbard,17,Flex
4,Gaybo,Travis Kelce,8,Flex
4,Zeus,Diontae Johnson,16,Flex
